Bus,busmap
40036,p650 0
40037,p650 0
40038,p650 2
40039,p650 2
40040,p650 2
40041,p650 0
40042,p650 2
40043,p650 0
40044,p650 2
40045,p650 0
40046,p650 2
40047,p650 0
40048,p650 2
40049,p650 0
40050,p650 2
40051,p650 2
40052,p650 0
40053,p650 0
40054,p650 2
40055,p650 2
40056,p650 2
40057,p650 0
40058,p650 2
40059,p650 2
40060,p650 0
40061,p650 0
40062,p650 2
40063,p650 2
40064,p650 2
40065,p650 2
40066,p650 1
40067,p650 1
40068,p650 2
40069,p650 0
40070,p650 2
40071,p650 2
40072,p650 0
40073,p650 2
40074,p650 1
40075,p650 2
40076,p650 2
40077,p650 2
40078,p650 2
40079,p650 2
40080,p650 1
40081,p650 0
40082,p650 2
40083,p650 1
40084,p650 0
40085,p650 0
40086,p650 2
40087,p650 1
40088,p650 0
40089,p650 0
40090,p650 2
40091,p650 2
40092,p650 2
40093,p650 0
40094,p650 2
40095,p650 0
40096,p650 2
40097,p650 2
40098,p650 2
40099,p650 0
40100,p650 0
40101,p650 0
40102,p650 2
40103,p650 1
40104,p650 0
40105,p650 1
40106,p650 2
40107,p650 2
40108,p650 0
40109,p650 2
40110,p650 0
40111,p650 0
40112,p650 2
40113,p650 2
40114,p650 2
40115,p650 1
40116,p650 1
40117,p650 1
40118,p650 2
40119,p650 2
40120,p650 2
40121,p650 1
40122,p650 2
40477,p650 1
40478,p650 1
40482,p650 1
40484,p650 1
40485,p650 1
40492,p650 1
40493,p650 1
40496,p650 1
40500,p650 1
40502,p650 1
40503,p650 1
40504,p650 1
40507,p650 1
40508,p650 1
40518,p650 1
40519,p650 1
40522,p650 1
40524,p650 1
40525,p650 1
40528,p650 1
40530,p650 1
40531,p650 1
40535,p650 1
40539,p650 1
40542,p650 1
40555,p650 1
40556,p650 1
40558,p650 1
40560,p650 1
40564,p650 1
40567,p650 1
40568,p650 1
40570,p650 1
40573,p650 1
40574,p650 1
40575,p650 1
40577,p650 1
40590,p650 1
40591,p650 1
40592,p650 1
40594,p650 1
40595,p650 1
40600,p650 1
40605,p650 1
40606,p650 1
40609,p650 1
40616,p650 1
40619,p650 1
40620,p650 1
40623,p650 0
40625,p650 1
40627,p650 1
40629,p650 1
40630,p650 1
40633,p650 1
40635,p650 1
40636,p650 1
40638,p650 1
40641,p650 1
40645,p650 1
40646,p650 1
40647,p650 1
40649,p650 1
40653,p650 1
40654,p650 1
40655,p650 1
40656,p650 1
40664,p650 1
40665,p650 1
40667,p650 1
40674,p650 2
40676,p650 1
40679,p650 1
40680,p650 1
40683,p650 0
40692,p650 0
40696,p650 0
40700,p650 0
40709,p650 0
40711,p650 0
40713,p650 0
40729,p650 0
40740,p650 0
40744,p650 0
40751,p650 0
40754,p650 0
40783,p650 0
40822,p650 0
40827,p650 0
40829,p650 0
40844,p650 0
40845,p650 0
40846,p650 0
40855,p650 0
40859,p650 0
40869,p650 0
40883,p650 0
40894,p650 0
40898,p650 0
40899,p650 0
50000,p650 2
50001,p650 2
50002,p650 2
50003,p650 0
50004,p650 2
50005,p650 2
50006,p650 2
50007,p650 2
50008,p650 0
50009,p650 0
50010,p650 0
50011,p650 0
50012,p650 2
50013,p650 0
50014,p650 0
50015,p650 0
50016,p650 0
50017,p650 0
50018,p650 0
50019,p650 0
50020,p650 0
50021,p650 0
